editorId,text
crime.observed,"Crime observe ! Prime : {} pieces d'or."
crime.finePaid,Amende payee. Restez dans le droit chemin.
talk.greeting,"Belle journee, voyageur."
rest.sleep,Vous dormez profondement (8 h).
rest.nap,Vous vous reposez un moment (1 h).
prompt.door,[E] {}
prompt.door.name,Utiliser la porte
prompt.take,[E] Prendre {}
prompt.take.name,l'objet
prompt.talk,[E] Parler a {}
prompt.talk.name,ce personnage
prompt.search,[E] Fouiller {}
prompt.search.name,le corps
prompt.use,[E] Utiliser {}
prompt.use.name,ceci
quest.new,Nouvelle quete : {} (journal : J).
quest.done,Quete accomplie : {}{}.
quest.reward, (+{} {})
quest.failed,Quete echouee : {}.
quest.journalUpdated,Journal mis a jour (J).
save.saved,Partie sauvegardee ({}).
save.missing,Aucune sauvegarde '{}'.
ui.hud.carriedWeight,Charge portee  {} / {}  ({})
ui.hud.encumbrance.light,legere
ui.hud.encumbrance.medium,moyenne
ui.hud.encumbrance.heavy,lourde
ui.hud.encumbrance.overencumbered,surcharge
ui.cols.name,Nom
ui.cols.weight,Poids
ui.cols.value,Valeur
ui.cols.power,Puissance
ui.cols.price,Prix
ui.common.you,Vous
ui.inventory.title,Inventaire
ui.inventory.tab.all,Tout
ui.inventory.tab.weapons,Armes
ui.inventory.tab.armor,Armures
ui.inventory.tab.consumables,Consommables
ui.inventory.tab.misc,Divers
ui.inventory.use,Utiliser
ui.inventory.close,[I] fermer
ui.inventory.detail,Poids {}   Valeur {}{}
ui.inventory.detailPower,   Puissance {}
ui.inventory.equip,Equiper
ui.inventory.unequip,Retirer
ui.barter.merchant,Marchand
ui.barter.vendorGold,Or du marchand
ui.barter.yourGold,Votre or
ui.barter.buyHint,Cliquez un objet pour l'acheter.
ui.barter.sellHint,Cliquez un objet pour le vendre.
ui.container.loot,Butin
ui.container.takeAll,Tout prendre
ui.container.moveHint,cliquez un objet pour le deplacer
ui.dialogue.leave,(Partir)
ui.journal.title,Journal
ui.journal.done,Accomplie
ui.journal.failed,Echouee
ui.journal.empty,Aucune quete pour l'instant.
ui.journal.close,Fermer
ui.menu.day,Jour {} — {}
ui.mainmenu.title,True Adventurer
ui.mainmenu.play,Entrer dans le monde
ui.mainmenu.load,Charger une partie
ui.mainmenu.options,Options
ui.mainmenu.quit,Quitter
